v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
0	2	1	1	0.6334482758	c	14024	15272	1150.65	10	0.91828182294395
1	0	1	1	0.6334482758	c	793	13656	1169.5	10	0.0580697129466901
1	2	1	1	0.6334482758	c	12449	13266	1169.9	10	0.938413990652797
0	1	2	1	0.6334482758	c	5581	11077	1169.9	10	0.503836778911258
2	1	0	1	0.6334482758	c	5638	11193	1169.9	10	0.503707674439382
1	1	0	1	0.6334482758	c	4334	8733	1169.9	10	0.4962784839116
1	1	2	1	0.6334482758	c	4348	8670	1169.9	10	0.501499423298731
2	1	1	1	0.6334482758	c	2704	5286	1169.9	10	0.511539916761256
0	1	1	1	0.6334482758	c	2590	5286	1169.9	10	0.489973514945138
1	1	1	1	0.6334482758	c	1678	3324	1169.9	10	0.504813477737665
0	0	0	0	0.6334482758	d	6832600	674638501	0	10	0.0101277943518969
2	2	2	2	0.6334482758	d	549723161	550338464	0	10	0.998881955305236
0	0	0	2	0.6334482758	d	37569443	40704448	0.45	10	0.922981267305234
2	2	2	0	0.6334482758	d	615179	33719538	0.45	10	0.0182439925481779
0	0	0	1	0.6334482758	d	5771081	15420888	5.75	10	0.374237916778852
1	0	0	0	0.6334482758	d	11339	7846948	32.4	10	0.0014450204079344
0	2	0	0	0.6334482758	d	11438	4437568	32.35	10	0.00257753796674214
0	0	1	0	0.6334482758	d	12318	4337120	29.8	10	0.00284013354484082
0	0	2	0	0.6334482758	d	19377	4173297	19.75	10	0.00464309154129217
2	0	0	0	0.6334482758	d	10729	3446624	35.3	10	0.00311290120419286
0	1	0	0	0.6334482758	d	4206	2995266	84.15	10	0.00140421585261543
2	2	0	0	0.6334482758	d	19518	2800905	20.15	10	0.00696846197925313
1	2	0	0	0.6334482758	d	8002	1572252	48.15	10	0.00508951491236774
2	2	2	1	0.6334482758	d	1155623	2308777	9.15	10	0.5005346986738
2	2	1	0	0.6334482758	d	12281	1412563	34.05	10	0.00869412550095111
2	0	2	0	0.6334482758	d	10951	1390825	37.1	10	0.0078737440008628
0	2	2	0	0.6334482758	d	10238	1331306	39	10	0.00769019293836278
1	2	2	0	0.6334482758	d	10836	1316192	36.7	10	0.00823284140915611
1	0	2	0	0.6334482758	d	7954	1108366	49.65	10	0.00717632984050395
0	2	1	0	0.6334482758	d	4135	626877	99.2	10	0.00659619032122729
1	0	1	0	0.6334482758	d	3500	594499	110.25	10	0.0058873101552736
2	0	1	0	0.6334482758	d	4122	598807	96.35	10	0.00688368706444647
1	1	0	0	0.6334482758	d	2287	538386	167.25	10	0.00424788163139458
2	1	0	0	0.6334482758	d	3019	546757	137.3	10	0.00552164855685432
2	2	0	2	0.6334482758	d	737898	757029	29.4	10	0.974728841299343
0	0	2	2	0.6334482758	d	732939	752099	29.55	10	0.974524630401051
1	2	1	0	0.6334482758	d	3602	495097	114.8	10	0.00727534200368817
2	1	2	0	0.6334482758	d	4310	504144	96.95	10	0.00854914468881907
0	1	2	0	0.6334482758	d	2835	413487	135.6	10	0.006856321964173
0	0	1	2	0.6334482758	d	455747	467983	47.25	10	0.973853751097796
2	2	1	2	0.6334482758	d	460433	472452	46.2	10	0.974560378620474
1	0	0	2	0.6334482758	d	422428	433499	52.25	10	0.974461302102196
0	2	0	2	0.6334482758	d	424630	435727	51.8	10	0.974532218568048
2	0	2	2	0.6334482758	d	426887	438082	51.5	10	0.974445423459535
1	2	2	2	0.6334482758	d	424001	435140	50.75	10	0.974401342096796
1	1	2	0	0.6334482758	d	2203	287969	184.85	10	0.00765012900694172
0	2	2	2	0.6334482758	d	393388	403916	54.7	10	0.973935174640272
2	0	0	2	0.6334482758	d	392194	402528	56	10	0.974327251768821
0	1	1	0	0.6334482758	d	1347	227363	291.95	10	0.00592444680972718
1	0	2	2	0.6334482758	d	304141	312240	71.25	10	0.97406161926723
1	2	0	2	0.6334482758	d	304039	312159	73.55	10	0.9739876152858
2	1	1	0	0.6334482758	d	1329	183097	301.1	10	0.00725844770804546
1	1	1	0	0.6334482758	d	898	130123	469.85	10	0.00690116274601723
2	1	2	2	0.6334482758	d	164706	168943	135.5	10	0.974920535328484
0	1	0	2	0.6334482758	d	162920	167151	134.6	10	0.974687557956578
